,p,q,prob_hide_friend,prob_interfriend_edge,DOT-VAR mean,DOT-VAR conf_mean,DOT-VAR conf_left,DOT-VAR conf_right,Combo-LP mean,Combo-LP conf_mean,Combo-LP conf_left,Combo-LP conf_right,DOT-LP mean,DOT-LP conf_mean,DOT-LP conf_left,DOT-LP conf_right,DOT-Combo mean,DOT-Combo conf_mean,DOT-Combo conf_left,DOT-Combo conf_right,VAR-LP mean,VAR-LP conf_mean,VAR-LP conf_left,VAR-LP conf_right,LP mean,LP conf_mean,LP conf_left,LP conf_right,Combo mean,Combo conf_mean,Combo conf_left,Combo conf_right,VAR mean,VAR conf_mean,VAR conf_left,VAR conf_right,DOT mean,DOT conf_mean,DOT conf_left,DOT conf_right
31,0.35,0.35,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,0.2,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8172000000000001,0.7628662167707789,0.8715337832292214,0.82,0.8197999999999998,0.7686926619750155,0.870907338024984,0.82,0.8269999999999998,0.7731576374961127,0.880842362503887,0.82,0.8340000000000002,0.783443101360942,0.8845568986390584
33,0.2,0.25,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.8202000000000002,0.7662744958298953,0.874125504170105,0.82,0.8244,0.7709898885977571,0.877810111402243,0.82,0.8393999999999998,0.7864505901827035,0.8923494098172962,0.82,0.8177999999999997,0.7614514418995478,0.8741485581004517
34,0.2,0.3,0.2,0.3,0.02,0.0202,0.002201111145406779,0.038198888854593216,0.08,0.081,0.0471326115562478,0.1148673884437522,0.06,0.056799999999999996,0.024215341032933914,0.08938465896706607,-0.02,-0.0164,-0.035453608582103294,0.0026536085821032875,0.04,0.0398,0.011305088173500174,0.06829491182649983,0.82,0.8181999999999999,0.7628397254342069,0.873560274565793,0.9,0.8982000000000001,0.8542823497896348,0.9421176502103654,0.86,0.8608,0.8154639216517352,0.9061360783482648,0.88,0.8826,0.8369355718310193,0.9282644281689808
35,0.2,0.35,0.2,0.3,0.0,0.0,0.0,0.0,0.16,0.1568,0.10551881436628048,0.20808118563371952,0.16,0.1502,0.09352584363221628,0.20687415636778372,0.0,0.0,0.0,0.0,0.16,0.1548,0.09882714943832144,0.21077285056167855,0.84,0.8362000000000002,0.7926849451338966,0.8797150548661037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
36,0.25,0.2,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.7142000000000002,0.6496216754630474,0.778778324536953,0.72,0.7312000000000001,0.668378347681711,0.7940216523182891,0.72,0.7209999999999998,0.6613761792569444,0.7806238207430551,0.72,0.722,0.652,0.7919999999999999
37,0.25,0.25,0.2,0.3,0.04,0.04,0.011574659192896214,0.06842534080710379,0.1,0.1014,0.06087790726035981,0.14192209273964018,0.04,0.0378,0.012048106865707911,0.06355189313429209,-0.06,-0.0574,-0.09082514023904761,-0.023974859760952386,0.0,0.0,0.0,0.0,0.74,0.7486,0.6856552623327414,0.8115447376672587,0.84,0.8406000000000001,0.7898098434733659,0.8913901565266343,0.74,0.7368000000000001,0.6789920420703172,0.7946079579296831,0.78,0.7822,0.72861679367563,0.83578320632437
38,0.25,0.3,0.2,0.3,0.08,0.0798,0.03985053191843475,0.11974946808156524,0.24,0.24280000000000002,0.18421536037492423,0.3013846396250758,0.22,0.2192,0.16421491111219336,0.2741850888878067,-0.02,-0.018600000000000002,-0.0390460265088354,0.0018460265088354015,0.14,0.1402,0.08909266197501575,0.19130733802498423,0.76,0.7746000000000001,0.7133558982431778,0.8358441017568223,1.0,1.0,1.0,1.0,0.9,0.8917999999999999,0.8423959515828915,0.9412040484171084,0.98,0.9833999999999999,0.9664164785748066,1.0003835214251933
39,0.25,0.35,0.2,0.3,0.0,0.0,0.0,0.0,0.08,0.0754,0.041007558970029466,0.10979244102997052,0.08,0.08439999999999999,0.044242310823454985,0.124557689176545,0.0,0.0,0.0,0.0,0.08,0.08,0.042905526018017184,0.11709447398198282,0.92,0.9238000000000003,0.8914648797744622,0.9561351202255384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
40,0.3,0.2,0.2,0.3,0.04,0.040999999999999995,0.015019237886466835,0.06698076211353315,0.06,0.06599999999999999,0.034567532708996575,0.09743246729100341,0.04,0.04119999999999999,0.008480586802327876,0.07391941319767209,-0.02,-0.019799999999999998,-0.03949670023125701,-0.00010329976874299054,0.0,0.0,0.0,0.0,0.68,0.6772000000000001,0.6175329236513135,0.7368670763486868,0.74,0.75,0.693750555558299,0.806249444441701,0.68,0.6718000000000001,0.6025702376141591,0.7410297623858411,0.72,0.7162,0.6547056100119694,0.7776943899880305
